ip_dst,ip_len,ip_proto,ip_src,ip_time,ip_ttl,tcp_dport,tcp_flag,tcp_sport
142.251.8.155,87,6,192.168.221.11,1665372721.1539133,64,443,PA,51804
192.168.221.11,52,6,31.13.75.17,1665372721.154226,85,35542,A,443
142.250.204.100,315,6,192.168.221.11,1665372721.1544516,64,443,PA,51406
142.250.66.99,217,6,192.168.221.11,1665372721.154733,64,443,PA,37276
142.250.66.99,91,6,192.168.221.11,1665372721.1550093,64,443,PA,37276
142.250.204.100,91,6,192.168.221.11,1665372721.1552942,64,443,PA,51406
192.168.221.11,52,6,142.250.66.99,1665372721.1558738,119,37276,A,443
192.168.221.11,91,6,142.250.66.99,1665372721.156122,119,37276,PA,443
142.250.66.99,52,6,192.168.221.11,1665372721.156406,64,443,A,37276
192.168.221.11,52,6,142.250.204.100,1665372721.1566274,54,51406,A,443
192.168.221.11,52,6,142.250.204.100,1665372721.1568468,54,51406,A,443
192.168.221.11,91,6,142.250.204.100,1665372721.1570642,54,51406,PA,443
192.168.221.11,52,6,142.251.8.155,1665372721.1573396,117,51804,A,443
192.168.221.11,121,6,142.250.66.99,1665372721.1575854,119,37276,PA,443
142.250.66.99,52,6,192.168.221.11,1665372721.1578808,64,443,A,37276
192.168.221.11,125,6,142.250.66.99,1665372721.1581316,119,37276,PA,443
142.250.66.99,52,6,192.168.221.11,1665372721.1584074,64,443,A,37276
192.168.221.11,83,6,142.250.66.99,1665372721.1586325,119,37276,PA,443
142.250.66.99,52,6,192.168.221.11,1665372721.1589088,64,443,A,37276
192.168.221.11,91,6,142.250.66.99,1665372721.159129,119,37276,PA,443
142.250.66.99,52,6,192.168.221.11,1665372721.1594074,64,443,A,37276
142.250.204.100,52,6,192.168.221.11,1665372721.1596262,64,443,A,51406
142.250.66.99,87,6,192.168.221.11,1665372721.1598437,64,443,PA,37276
142.250.66.99,91,6,192.168.221.11,1665372721.160163,64,443,PA,37276
192.168.221.11,288,6,142.250.204.100,1665372721.1604412,54,51406,PA,443
142.250.204.100,52,6,192.168.221.11,1665372721.1607726,64,443,A,51406
