Mon Oct 10 11:18:00 2022,20.189.173.10:443,192.168.1.30:53616,TCP
Mon Oct 10 11:18:00 2022,20.189.173.10:443,192.168.1.30:53616,TCP
Mon Oct 10 11:18:00 2022,52.182.143.211:443,192.168.1.30:44948,TCP
Mon Oct 10 11:18:00 2022,192.168.1.30:44948,52.182.143.211:443,TCP
Mon Oct 10 11:18:00 2022,192.168.1.30:44948,52.182.143.211:443,TCP
Mon Oct 10 11:18:00 2022,192.168.1.30:44948,52.182.143.211:443,TCP
Mon Oct 10 11:18:00 2022,192.168.1.30:44948,52.182.143.211:443,TCP
Mon Oct 10 11:18:00 2022,192.168.1.30:44948,52.182.143.211:443,TCP
Mon Oct 10 11:18:00 2022,192.168.1.30:44948,52.182.143.211:443,TCP
Mon Oct 10 11:18:00 2022,192.168.1.30:44948,52.182.143.211:443,TCP
